;Index;wheat;maize;soybeans;rice;class;Word1;Word2;Word3;Word4;Word5
2023;30351;0.0;0.0;0.0;0.0;5.0;rocket;spacex;land;musk;attempt
2024;49883;0.0;0.0;0.0;0.0;5.0;said;billion;nigeria;govern;adeosun
2025;26443;0.0;0.0;0.0;0.0;5.0;energi;oil;bond;american;eagl
2026;47053;0.0;0.0;0.0;0.0;5.0;uk;michael;rest;download;say
2027;36463;27.0;20.0;8.0;8.0;0.0;wheat;milk;china;corn;futur
2028;37855;33.0;26.0;14.0;14.0;0.0;wheat;price;corn;futur;us
2029;2313;2.0;2.0;0.0;5.0;5.0;asia;feed;2016;confer;victam
2030;48854;0.0;0.0;0.0;0.0;5.0;rousseff;committe;hous;brazil;lower
2031;31863;29.0;23.0;10.0;10.0;0.0;wheat;price;corn;cf;futur
2032;46242;0.0;0.0;0.0;0.0;5.0;sharp;yen;compani;year;billion
2033;56404;0.0;0.0;0.0;0.0;5.0;euro;cypriot;bank;said;cyprus
2034;25865;0.0;0.0;0.0;0.0;5.0;europ;index;sinc;percent;european
2035;35712;0.0;0.0;0.0;0.0;5.0;percent;japan;auto;brand;said
2036;46280;0.0;0.0;0.0;0.0;5.0;stewart;news;fox;polit;show
2037;49163;0.0;0.0;0.0;0.0;5.0;car;sport;year;percent;vehicl
2038;12238;11.0;10.0;6.0;6.0;0.0;trade;mmt;commod;crop;wheat
2039;16249;0.0;0.0;0.0;0.0;5.0;solar;shipment;compani;yuan;year
2040;6952;0.0;0.0;0.0;0.0;5.0;600;700;22000;lower;rhine
2041;38980;0.0;0.0;0.0;0.0;5.0;schengen;european;said;would;year
2042;57914;0.0;0.0;0.0;0.0;5.0;easyjet;percent;said;year;compani
2043;13354;16.0;12.0;3.0;8.0;0.0;mmt;year;eu;wheat;barley
2044;28;0.0;0.0;0.0;0.0;5.0;sold;estim;auction;four;lot
2045;32016;0.0;0.0;0.0;0.0;5.0;compani;swap;bond;gso;said
2046;25218;0.0;0.0;0.0;0.0;5.0;zhang;china;fine;said;xinhua
2047;8310;0.0;0.0;0.0;0.0;5.0;percent;china;said;sale;month
2048;25330;27.0;20.0;8.0;8.0;0.0;wheat;corn;futur;price;us
2049;29458;46.0;30.0;12.0;16.0;0.0;wheat;price;corn;futur;export
2050;659;0.0;0.0;0.0;0.0;5.0;year;segment;ebit;sugar;starch
2051;24484;0.0;0.0;0.0;0.0;5.0;peugeot;said;state;euro;billion
2052;15650;30.0;18.0;2.0;14.0;0.0;research;product;bean;bread;said
2053;34179;0.0;0.0;0.0;0.0;5.0;said;carney;union;bank;currenc
2054;5247;47.0;27.0;11.0;15.0;0.0;wheat;futur;price;corn;us
2055;872;0.0;0.0;0.0;0.0;5.0;percent;next;sale;analyst;growth
2056;9763;10.0;11.0;6.0;7.0;1.0;mmt;corn;week;crop;export
2057;46744;0.0;0.0;0.0;0.0;5.0;committe;inflat;feder;rate;expect
2058;2608;2.0;2.0;1.0;2.0;5.0;cargil;hutter;minnesota;anim;wayzata
2059;55062;0.0;0.0;0.0;0.0;5.0;said;week;bond;market;euro
2060;33842;0.0;0.0;0.0;0.0;5.0;kong;hong;percent;said;properti
2061;54516;19.0;13.0;1.0;13.0;0.0;ergot;grain;egypt;said;accord
2062;47243;0.0;0.0;0.0;0.0;5.0;compani;yahoo;sale;said;offic
2063;36412;1.0;1.0;1.0;1.0;5.0;perdu;us;niman;chicken;meat
2064;9416;38.0;25.0;18.0;11.0;0.0;wheat;price;fund;futur;hedg
2065;57033;0.0;0.0;0.0;0.0;5.0;percent;market;year;ralli;share
2066;55061;0.0;0.0;0.0;0.0;5.0;bgc;gfi;said;statement;gfis
2067;13493;31.0;24.0;12.0;12.0;0.0;wheat;coffe;price;corn;futur
2068;45486;0.0;0.0;0.0;0.0;5.0;softbank;alibaba;billion;said;compani
2069;41845;0.0;0.0;0.0;0.0;5.0;skymark;plane;a380;carrier;plan
2070;60903;0.0;0.0;0.0;0.0;5.0;foursquar;compani;crowley;said;locat
2071;45999;0.0;0.0;0.0;0.0;5.0;glencor;billion;year;said;rate
2072;38080;0.0;0.0;0.0;0.0;5.0;deleg;vote;trump;convent;rule
2073;34597;46.0;30.0;10.0;17.0;0.0;wheat;corn;price;grain;futur
2074;7754;9.0;9.0;8.0;2.0;4.0;12;cent;week;close;wheat
2075;23760;0.0;0.0;0.0;0.0;5.0;walk;said;offic;presid;meet
2076;35219;0.0;0.0;0.0;0.0;5.0;headphon;sound;pair;qualiti;nois
2077;33024;0.0;0.0;0.0;0.0;5.0;aston;martin;bond;said;car
2078;53206;0.0;0.0;0.0;0.0;5.0;hong;gold;kong;said;exchang
2079;11723;27.0;26.0;21.0;12.0;0.0;mmt;wheat;corn;close;usda
